Va_rms,Va_mean,Va_std,Va_skewness,Va_kurtosis,Va_peak_to_peak,Vb_rms,Vb_mean,Vb_std,Vb_skewness,Vb_kurtosis,Vb_peak_to_peak,Vc_rms,Vc_mean,Vc_std,Vc_skewness,Vc_kurtosis,Vc_peak_to_peak,Ia_rms,Ia_mean,Ia_std,Ia_skewness,Ia_kurtosis,Ia_peak_to_peak,Ib_rms,Ib_mean,Ib_std,Ib_skewness,Ib_kurtosis,Ib_peak_to_peak,Ic_rms,Ic_mean,Ic_std,Ic_skewness,Ic_kurtosis,Ic_peak_to_peak,V0_rms,V1_rms,V2_rms,I0_rms,I1_rms,I2_rms,V2_over_V1,V0_over_V1,Za_mag,Zb_mag,Zc_mag,Za_angle_deg,Zb_angle_deg,Zc_angle_deg,Z1_mag,fault_type,faulted_phases,fault_section,fault_resistance_ohm,fault_inception_angle_deg,fault_duration_s
5803.468354735895,-69.48230412970842,5803.052399714636,0.019243136248949792,-1.4904955386151837,17691.433284355582,5498.094474444215,343.3603156197183,5487.362439603523,-0.05602416801475045,-1.486421005115068,16974.392963418377,6316.166919736079,-272.7585380442152,6310.274743455497,0.062031881582006156,-1.491672167908674,17854.36281059278,753.1641434047206,2.415689652494458,753.1602693677285,0.008382418007420803,-1.3311479017966503,2296.0710091905394,698.2167061501558,-7.135693447541467,698.1802422198695,-0.004370643420684787,-1.3341272842372265,2117.1150818138817,56.24510296615599,-2.8354754308279793,56.173585311555996,0.09257892754014327,-1.4999322988372679,159.84693694168215,180.15589159572735,5853.042249614797,451.02014405169325,111.89445044637885,471.2618981112201,306.32764074881953,0.07705738739223623,0.03077987205842976,7.924330030796533,8.174184607651307,111.87837539934706,14.569253180046008,46.79764864141022,19.529592190050497,12.41993522725542,LLG,AB,6,9.695756326017843,121.72584073517542,0.14777738765047727
6252.998897607113,-478.186038935304,6234.68790924158,0.12022357695660942,-1.4581620729271028,17835.94051449772,6350.314840707163,184.86388850004982,6347.623485906697,-0.03707467383304842,-1.5100197521563499,17859.62826052058,6141.268935527712,293.64769676614765,6134.244466000813,-0.060135851412377345,-1.5039700184319607,17822.17958301973,54.69284693702048,-3.767370315061867,54.562940050784846,0.12262458162986571,-1.4595904709313248,157.5395444722833,50.374692887212305,2.884649591177439,50.29203197542408,-0.08026792281675302,-1.4969172046843096,144.9123829503103,331.3207939374051,-1.674702197443602,331.31656141500434,-0.020788235849565517,-1.2362640591580778,1045.9240547542142,139.6691913708689,6244.842565866611,232.9261319504265,86.74030827458478,140.53417957004635,89.80261766518626,0.03729895982063126,0.022365526416034908,114.21346989969119,126.76659621938508,19.42677582798076,25.62374350397636,20.385304302102416,16.75136461399533,44.43646794660368,LG,C,6,14.470396897049056,169.5245157485887,0.11206142865739276
6309.249578506026,-1.940255363782247e-13,6309.249578506026,-1.3026616822268503e-16,-1.5,17843.98985018731,6309.249578506029,9.701276818911235e-14,6309.249578506029,-3.552713678800501e-17,-1.5,17845.234535904445,6309.249578506036,-7.761021455128988e-13,6309.249578506036,-4.7369515717340015e-17,-1.5,17844.522290557223,53.4230546068547,2.2737367544323206e-15,53.4230546068547,-9.473903143468003e-17,-1.5000000000000002,151.0905488053351,53.42305460685455,-3.789561257387201e-16,53.42305460685455,-1.4210854715202004e-16,-1.4999999999999993,151.09838748174684,53.423054606854585,-7.200166389035682e-15,53.423054606854585,1.9539925233402755e-16,-1.5000000000000004,151.1027532033719,7.592752679173641e-12,6309.249578506031,1.017410746774951e-11,1.0415951242927635e-13,53.42305460685461,2.5618982671915014e-14,1.6125701386754525e-15,1.2034319747058621e-15,118.09975346667072,118.09975346667106,118.09975346667115,21.97645623991955,21.9764562399195,21.976456239919465,118.09975346667098,Normal,None,None,None,None,0.0
6294.569662244041,-1.940255363782247e-13,6294.569662244041,-1.0658141036401502e-16,-1.5000000000000007,17802.39604614282,6294.569662244027,0.0,6294.569662244027,-4.7369515717340015e-17,-1.5,17803.703471916313,6294.569662244021,-7.275957614183426e-13,6294.569662244021,-3.552713678800501e-17,-1.5000000000000002,17803.05852097462,59.447806309999784,1.0610771520684163e-14,59.44780630999979,-2.6053233644537007e-16,-1.5000000000000009,168.1256011647232,59.44780630999992,-1.0610771520684163e-14,59.447806309999905,-4.7369515717340015e-17,-1.4999999999999991,168.14051864238758,59.44780630999964,-9.852859269206723e-15,59.44780630999964,2.6053233644537007e-16,-1.4999999999999996,168.14227925141034,1.3096758794013322e-11,6294.569662244029,2.1436995702562472e-12,7.306077580598291e-14,59.44780630999977,8.875466014308004e-14,3.405633244659355e-16,2.0806440307698966e-15,105.88396869381577,105.8839686938153,105.88396869381569,29.055493956402234,29.055493956402387,29.055493956402223,105.88396869381558,Normal,None,None,None,None,0.0
6287.164855572162,-115.3405920267664,6286.106781543934,0.033539326723385325,-1.4891620931580591,17818.57159774941,3374.230990755483,-19.906488832683443,3374.1722704505005,-0.6018154469692645,0.4404720828122346,17409.34925438703,2719.6434231549024,115.55373920916064,2717.187458101575,-0.3567926905063675,-0.5773543220497066,13230.815829380645,60.105941930471324,-1.4165922795219994,60.08924630632996,0.023300163448370843,-1.4861397887777756,172.62533664438777,2663.434387337948,-43.39882514672653,2663.080786913937,-0.07714453386781175,-1.3733812248270747,8460.960364463659,2452.0789292232103,168.88697208186264,2446.2559689863747,-0.031233394209189237,-1.3414319963908639,7783.01330995893,1021.5594479562733,3880.7249153803928,1589.9303956190645,634.3150415359512,1658.3090942366985,981.1845424194818,0.40969932945201243,0.2632393354931057,105.28967792957246,1.2115524857016748,1.0840380318405805,28.666673650680636,27.310442921758327,58.16647313593055,2.340169832552627,LLG,BC,1,0.5109522407731363,146.83975261646526,0.09832359732237363
6307.284759005538,-2.9103830456733704e-13,6307.284759005538,-5.921189464667501e-17,-1.5,17838.359019345604,6307.284759005536,9.701276818911235e-14,6307.284759005536,-3.552713678800501e-17,-1.4999999999999996,17839.667421457758,6307.284759005543,-7.761021455128988e-13,6307.284759005543,1.1842378929335004e-17,-1.5000000000000004,17839.019503002386,55.1886759291108,7.579122514774402e-16,55.1886759291108,-1.6579330501069005e-16,-1.5000000000000004,156.09505369011805,55.18867592911058,2.2737367544323206e-15,55.18867592911057,-5.921189464667501e-17,-1.4999999999999998,156.07802750538804,55.18867592911077,-3.789561257387201e-15,55.18867592911077,4.144832625267251e-17,-1.4999999999999996,156.09496229317872,8.686613474549571e-12,6307.284759005539,8.797007545306714e-12,1.4277834521211433e-13,55.188675929110715,8.248962883910356e-14,1.3947376535911669e-15,1.3772350236996716e-15,114.28585036370811,114.28585036370858,114.28585036370829,22.401918163688293,22.401918163688162,22.401918163688222,114.28585036370832,Normal,None,None,None,None,0.0
4387.568057567721,90.94353833679277,4386.625437921884,0.007091090083020212,-1.4646106918616433,15508.82522441688,6274.694921946154,37.102906209165745,6274.58522436724,-0.0124802237793887,-1.4903171046352923,17834.227210316196,4815.074989549761,-127.67798972362397,4813.381917729755,-0.025002602785232406,-1.4328879617575183,17949.536084753865,1311.8322617664514,-26.65572999967434,1311.5614187179601,0.015792036984693766,-1.4419471268025,3869.073167965071,65.30169206992913,-0.09217515957422119,65.30162701599251,0.0018041269964675847,-1.4837801453345374,186.57431506132986,1361.4113988967263,23.626037104986423,1361.2063794357764,-0.0024726863310309474,-1.4427042870112368,4107.901885414793,452.9752602331896,5116.998600672242,849.7490944317561,281.31702118873943,882.4256885825127,550.0851829846283,0.16606396849905744,0.08852362401929918,3.384644895510342,96.19179718223965,3.5826723213030407,60.115280982387226,19.99802366066881,33.14079284636573,5.798786987822112,LLG,CA,4,1.4716949439595048,98.31348163482355,0.28441823969193925
6330.551483456182,-46.89742020350332,6330.37777045474,0.01569140252518656,-1.507822883438976,17832.2645083133,5554.715904161432,123.66237893956591,5553.339210959382,-0.005208741642116932,-1.4815881409703813,17599.211234536495,3883.5460716861744,-76.7649587360567,3882.7873019287786,0.06134802165212035,-1.328460461408274,16751.364545928536,54.72246078888751,0.051463536919812626,54.72243658953518,-0.0021207056686403927,-1.5123996077417234,153.92422456193606,1615.6577160858092,8.320963884573771,1615.6362886205686,-0.043437716495399695,-1.4265653740073831,4814.68937072291,1591.811143937055,-8.372427421493416,1591.7891256134612,0.04385968405757011,-1.4274967872948867,4745.808301475308,6.190016772435639e-11,5145.366231378747,1444.8670732671374,1.6105635343895606e-12,933.7557561902815,884.5442776582868,0.2808093745505793,1.2030274414066281e-14,115.51397348439164,3.475938797096998,2.4666597220162467,24.033795710194674,-1.4744101182884348,80.1413691548001,5.5103984069365355,LL,BC,2,2.16006562032157,59.560367484069836,0.27586350170205975
5944.67416555997,40.41749532233647,5944.536765867294,-0.0026948774962597807,-1.4952172497646379,18070.015000454507,5412.111353549699,-2.4617711077694753,5412.110793664942,-0.018352849400247267,-1.4687523527672535,17291.293297623997,6302.681552526259,-37.19150340637059,6302.571819870773,0.009444857387938392,-1.503525050759994,17811.872977001105,840.7540045472308,-6.9618251051093285,840.7251805158513,0.07649865214216885,-1.256307119222382,2621.753307073129,775.6639864896096,2.6887738621822175,775.6593262715735,-0.04609278240328183,-1.2671867702047697,2410.1547292540363,58.46599080600392,-0.15819466340979407,58.4657767875892,0.005884188839179191,-1.4959204812947242,166.91044737610738,186.34652388705857,5859.442328888366,583.3622773965837,115.72705126765833,516.2350055413685,343.9528572649361,0.09955935132605995,0.03180277463749893,7.420268438436334,7.26322722922728,108.0767259259789,6.958064257591168,41.02504306658765,28.48689390248921,11.350339023878574,LLG,AB,4,10.797071339907372,113.14881793794217,0.12059567685627957
6301.856677357488,-1.940255363782247e-13,6301.856677357488,-8.289665250534503e-17,-1.5000000000000007,17823.256336134356,6301.856677357478,1.4551915228366852e-13,6301.856677357478,1.1842378929335004e-17,-1.500000000000001,17824.33949685805,6301.856677357476,-8.246085296074549e-13,6301.856677357476,-1.1842378929335004e-17,-1.4999999999999998,17823.46801789389,52.97358366531385,1.5158245029548805e-15,52.97358366531385,-9.473903143468003e-17,-1.5000000000000002,149.8318969512591,52.9735836653139,-6.063298011819522e-15,52.9735836653139,-3.434289889507151e-16,-1.5000000000000004,149.8227938305793,52.97358366531393,-4.168517383125921e-15,52.97358366531393,-1.3026616822268503e-16,-1.4999999999999998,149.82456931598657,1.0568460622715889e-11,6301.8566773574785,3.5484541848805216e-12,5.857120668539729e-14,52.973583665313896,8.324274257532225e-14,5.630807500954583e-16,1.677039190797259e-15,118.96224950859475,118.96224950859445,118.96224950859438,28.13509269465009,28.135092694650197,28.135092694650222,118.96224950859451,Normal,None,None,None,None,0.0
